Winner,Loser,Winner_Score,Loser_Score
plyr. Turkey,plyr. Russia,2,0
plyr. Yugoslavia,plyr. Czechoslovakia,1,0
plyr. Belgium,plyr. Switzerland,1,0
plyr. France,plyr. Poland,2,1
plyr. England,plyr. Northern Ireland,2,0
plyr. Denmark,plyr. Israel,3,1
plyr. Hungary,plyr. Austria,3,1
plyr. Cameroon,plyr. Togo,2,0
plyr. Italy,plyr. Russia,1,0
plyr. Vietnam Republic,plyr. Malaysia,3,2
plyr. Saint Vincent and the Grenadines,plyr. Dominica,1,0
plyr. Nigeria,plyr. DR Congo,3,2
plyr. Czechoslovakia,plyr. Netherlands,2,1
plyr. Sweden,plyr. Denmark,2,1
plyr. Saint Vincent and the Grenadines,plyr. Saint Lucia,2,1
plyr. Belgium,plyr. France,2,1
plyr. Saint Vincent and the Grenadines,plyr. Grenada,3,1
plyr. Sweden,plyr. Portugal,2,1
plyr. Republic of Ireland,plyr. Turkey,2,1
plyr. Scotland,plyr. Northern Ireland,2,1
plyr. Germany,plyr. Norway,3,0
plyr. Liberia,plyr. Sierra Leone,2,0
plyr. Mali,plyr. Guinea,1,0
plyr. DR Congo,plyr. Nigeria,1,0
plyr. North Korea,plyr. Cambodia,2,0
plyr. Italy,plyr. Romania,3,1
plyr. France,plyr. Luxembourg,3,0
plyr. China PR,plyr. North Vietnam,2,0
plyr. Netherlands,plyr. Denmark,2,0
plyr. Kenya,plyr. Uganda,2,1
plyr. North Korea,plyr. China PR,2,1
plyr. North Korea,plyr. North Vietnam,3,1
plyr. Romania,plyr. Israel,2,1
plyr. Spain,plyr. Republic of Ireland,2,0
plyr. Sudan,plyr. Kenya,1,0
plyr. Thailand,plyr. South Korea,3,0
plyr. Japan,plyr. India,2,1
plyr. Iran,plyr. Malaysia,2,0
plyr. Indonesia,plyr. Singapore,3,0
plyr. Japan,plyr. Iran,3,1
plyr. Kenya,plyr. Sudan,3,2
plyr. Myanmar,plyr. South Korea,1,0
plyr. India,plyr. Malaysia,2,1
plyr. Vietnam Republic,plyr. Taiwan,2,1
plyr. Japan,plyr. Malaysia,1,0
plyr. Indonesia,plyr. Taiwan,3,1
